session_id,customer_id,session_date,device_type,traffic_source,session_duration,pages_viewed
1,96,2025-09-14 16:55:00,Mobile,Referral,4,8
2,80,2025-09-04 04:17:00,Mobile,Email,27,4
3,24,2025-06-27 06:19:00,Mobile,Organic Search,29,3
4,43,2025-04-11 21:31:00,Tablet,Organic Search,1,8
5,74,2025-02-12 04:44:00,Mobile,Email,14,2
6,35,2025-08-03 14:08:00,Desktop,Referral,26,10
7,90,2025-04-25 10:16:00,Tablet,Email,26,5
8,75,2025-08-05 21:40:00,Mobile,Organic Search,4,10
9,73,2025-07-11 12:18:00,Mobile,Direct,16,4
10,82,2025-04-06 11:02:00,Desktop,Referral,12,1
11,55,2025-01-13 04:38:00,Mobile,Direct,9,1
12,62,2025-03-25 12:08:00,Desktop,Referral,27,3
13,49,2025-04-10 06:35:00,Mobile,Organic Search,19,12
14,9,2025-10-11 11:57:00,Tablet,Email,19,10
15,16,2025-03-10 18:42:00,Mobile,Email,27,5
16,100,2025-02-22 19:34:00,Mobile,Referral,21,10
17,58,2025-08-11 10:33:00,Mobile,Direct,23,11
18,75,2025-05-26 12:30:00,Mobile,Social Media,26,12
19,17,2025-09-10 20:53:00,Tablet,Paid Ads,13,8
20,42,2025-10-10 10:33:00,Desktop,Referral,29,5
21,38,2025-12-05 23:08:00,Mobile,Paid Ads,20,1
22,71,2025-08-05 22:04:00,Desktop,Email,19,12
23,54,2025-06-16 01:30:00,Desktop,Social Media,19,7
24,67,2025-06-22 10:52:00,Desktop,Email,30,10
25,20,2025-11-13 14:54:00,Mobile,Organic Search,3,12
26,62,2025-07-10 23:12:00,Mobile,Organic Search,6,5
27,6,2025-02-27 11:24:00,Mobile,Referral,15,5
28,80,2025-08-01 03:22:00,Mobile,Email,3,3
29,20,2025-02-16 20:56:00,Mobile,Paid Ads,15,1
30,54,2025-09-16 10:55:00,Tablet,Organic Search,11,12
31,74,2025-08-12 13:03:00,Desktop,Email,24,12
32,8,2025-05-02 22:51:00,Desktop,Social Media,28,2
33,28,2025-08-08 14:28:00,Mobile,Email,27,6
34,63,2025-05-25 20:24:00,Mobile,Referral,20,12
35,29,2025-02-15 21:16:00,Desktop,Social Media,19,5
36,47,2025-01-10 13:43:00,Desktop,Social Media,27,5
37,33,2025-03-06 02:25:00,Tablet,Organic Search,11,5
38,26,2025-03-04 20:40:00,Desktop,Direct,27,1
39,77,2025-04-08 01:44:00,Tablet,Organic Search,21,7
40,6,2025-07-16 12:50:00,Mobile,Referral,21,5
41,74,2025-03-24 19:28:00,Mobile,Paid Ads,9,1
42,51,2025-06-22 11:56:00,Desktop,Organic Search,17,8
43,32,2025-02-03 22:51:00,Tablet,Social Media,26,2
44,54,2025-04-28 12:50:00,Tablet,Social Media,12,1
45,54,2025-08-24 06:28:00,Desktop,Paid Ads,27,9
46,17,2025-04-22 12:46:00,Tablet,Referral,21,2
47,75,2025-04-13 12:43:00,Desktop,Paid Ads,18,2
48,82,2025-10-13 22:38:00,Tablet,Direct,2,4
49,38,2025-12-01 16:59:00,Desktop,Social Media,19,1
50,5,2025-10-12 14:59:00,Desktop,Organic Search,10,1
51,84,2025-03-10 09:05:00,Desktop,Referral,2,11
