return_id,order_item_id,return_date,return_reason,refund_amount,return_status
1,21,2025-08-04,Wrong item,599.0,Approved
2,34,2025-08-08,Damaged product,11337.0,Approved
3,63,2025-02-27,Size issue,10557.0,Approved
4,73,2025-05-31,Changed mind,7407.0,Completed
5,80,2025-11-28,Quality issue,9598.0,Rejected
6,90,2025-04-04,Size issue,2038.0,Completed
7,93,2025-02-06,Wrong item,5478.0,Completed
8,123,2025-07-08,Quality issue,1699.0,Rejected
9,129,2025-03-31,Changed mind,5847.0,Completed
10,135,2025-02-21,Changed mind,2338.0,Approved
11,160,2025-02-13,Wrong item,9238.0,Rejected
12,164,2025-06-03,Quality issue,3478.0,Approved
13,167,2025-06-29,Size issue,1039.0,Completed
14,176,2025-06-12,Size issue,1797.0,Completed
15,177,2025-06-02,Size issue,7167.0,Approved
16,183,2025-09-16,Quality issue,329.0,Approved
17,203,2025-08-25,Changed mind,5757.0,Completed
18,207,2025-12-25,Size issue,2839.0,Rejected
19,226,2025-05-23,Changed mind,13137.0,Approved
20,247,2025-07-24,Changed mind,1938.0,Approved
21,257,2025-03-15,Changed mind,4839.0,Completed
22,260,2025-11-03,Wrong item,6978.0,Completed
23,283,2025-04-30,Wrong item,4539.0,Approved
24,287,2025-07-26,Quality issue,1617.0,Completed
25,290,2025-09-11,Quality issue,3738.0,Completed
26,331,2025-04-23,Wrong item,11667.0,Approved
27,336,2026-01-08,Size issue,11337.0,Completed
28,337,2025-07-10,Size issue,1858.0,Rejected
29,355,2025-06-08,Size issue,1467.0,Approved
30,358,2025-09-02,Size issue,11907.0,Approved
31,361,2025-12-13,Damaged product,8978.0,Approved
32,367,2025-08-27,Changed mind,1189.0,Completed
33,370,2025-07-02,Wrong item,778.0,Approved
34,380,2025-02-10,Changed mind,2439.0,Rejected
35,383,2025-10-25,Wrong item,4678.0,Completed
36,399,2025-02-01,Changed mind,1158.0,Approved
37,405,2025-03-24,Size issue,1819.0,Approved
38,415,2025-12-26,Wrong item,2978.0,Approved
39,418,2025-12-23,Wrong item,1879.0,Completed
40,424,2025-10-21,Wrong item,3889.0,Approved
41,430,2025-08-27,Changed mind,3969.0,Completed
42,433,2025-07-30,Wrong item,11787.0,Approved
43,435,2025-01-28,Damaged product,4098.0,Approved
44,460,2025-01-21,Quality issue,5217.0,Approved
45,461,2025-01-29,Changed mind,1338.0,Approved
46,466,2025-03-12,Wrong item,7557.0,Completed
