review_id,customer_id,product_id,rating,review_date,review_text
1,55,50,4,2025-03-11,Good product
2,82,49,4,2025-12-13,Good product
3,5,7,5,2025-06-28,Excellent product
4,57,28,5,2025-08-15,Excellent product
5,37,48,4,2025-07-22,Good product
6,19,28,4,2025-10-28,Good product
7,60,4,4,2025-02-06,Good product
8,83,37,3,2025-12-17,Average product
9,92,36,4,2025-07-30,Good product
10,42,1,5,2025-10-11,Excellent product
11,4,41,3,2025-02-18,Average product
12,47,39,4,2025-09-19,Good product
13,83,12,4,2025-11-17,Good product
14,5,1,5,2025-04-21,Excellent product
15,43,18,3,2025-09-04,Average product
16,4,44,3,2025-12-16,Average product
17,56,45,3,2025-10-05,Average product
18,72,18,4,2025-04-26,Good product
19,84,31,4,2025-03-07,Good product
20,81,10,4,2025-08-22,Good product
21,51,9,3,2025-12-03,Average product
22,9,9,4,2025-10-22,Good product
23,75,8,4,2025-11-18,Good product
24,10,24,5,2025-03-24,Excellent product
25,59,31,3,2025-11-22,Average product
26,32,39,5,2025-11-11,Excellent product
27,67,41,4,2025-12-03,Good product
28,67,34,4,2025-03-11,Good product
29,11,48,4,2025-01-24,Good product
30,18,27,4,2025-08-21,Good product
31,21,34,2,2025-02-27,Not satisfied
32,48,18,4,2025-09-19,Good product
33,19,22,4,2025-07-16,Good product
34,52,9,1,2025-10-11,Very poor experience
35,46,4,1,2025-05-16,Very poor experience
36,61,17,5,2025-07-27,Excellent product
37,74,34,5,2025-04-04,Excellent product
38,30,25,5,2025-04-17,Excellent product
39,71,47,5,2025-09-16,Excellent product
40,46,40,4,2025-07-25,Good product
41,8,27,4,2025-04-24,Good product
42,79,37,3,2025-02-19,Average product
43,64,31,5,2025-12-17,Excellent product
44,62,14,5,2025-12-22,Excellent product
45,15,14,4,2025-01-27,Good product
46,85,9,2,2025-07-05,Not satisfied
47,79,24,2,2025-05-24,Not satisfied
48,100,11,4,2025-03-08,Good product
49,19,46,3,2025-07-07,Average product
50,36,11,2,2025-03-21,Not satisfied
51,55,17,3,2025-10-07,Average product
52,17,48,5,2025-07-17,Excellent product
53,7,14,4,2025-04-20,Good product
54,5,5,4,2025-02-23,Good product
55,55,15,1,2025-09-06,Very poor experience
56,30,24,4,2025-05-11,Good product
57,100,48,4,2025-01-14,Good product
58,48,29,2,2025-08-28,Not satisfied
59,98,10,5,2025-10-10,Excellent product
60,79,32,4,2025-11-23,Good product
61,80,26,3,2025-03-28,Average product
62,8,2,4,2025-06-29,Good product
63,58,32,3,2025-01-02,Average product
64,95,49,2,2025-10-12,Not satisfied
65,17,10,5,2025-09-19,Excellent product
66,62,43,4,2025-07-09,Good product
67,12,12,5,2025-01-25,Excellent product
68,22,27,4,2025-10-01,Good product
69,45,47,5,2025-05-20,Excellent product
70,49,33,5,2025-01-18,Excellent product
71,54,48,5,2025-08-22,Excellent product
72,83,48,2,2025-12-10,Not satisfied
73,60,23,2,2025-05-03,Not satisfied
74,36,24,4,2025-02-08,Good product
75,70,45,3,2025-05-12,Average product
76,74,1,3,2025-02-06,Average product
77,67,47,4,2025-07-28,Good product
78,87,13,5,2025-06-28,Excellent product
79,20,46,5,2025-10-27,Excellent product
80,24,41,4,2025-05-06,Good product
81,10,1,3,2025-07-05,Average product
82,77,14,4,2025-07-13,Good product
83,31,4,3,2025-09-07,Average product
84,37,9,4,2025-10-27,Good product
85,94,19,5,2025-06-28,Excellent product
86,42,44,4,2025-10-31,Good product
87,84,4,2,2025-11-12,Not satisfied
88,39,5,5,2025-09-19,Excellent product
89,14,6,1,2025-05-20,Very poor experience
90,62,27,5,2025-01-12,Excellent product
91,8,10,3,2025-10-09,Average product
92,8,41,4,2025-12-06,Good product
93,81,19,4,2025-05-03,Good product
94,29,14,3,2025-12-15,Average product
95,98,27,3,2025-02-02,Average product
96,29,37,1,2025-10-07,Very poor experience
97,14,47,4,2025-05-05,Good product
98,53,24,4,2025-04-05,Good product
99,30,9,3,2025-12-28,Average product
100,26,18,3,2025-05-26,Average product
101,84,32,2,2025-06-25,Not satisfied
102,82,7,3,2025-10-16,Average product
103,50,4,4,2025-06-13,Good product
104,95,38,4,2025-09-19,Good product
105,45,23,4,2025-03-02,Good product
